capture_name,Repeat,X,Y,Z,L*,a*,b*,dE00*C
solid_blue_pupil_1,1,164.17004,28.20637,868.12756,100,414.7577585,-409.2404796,41.15545122
solid_blue_pupil_1,2,163.96354,28.02774,866.51751,100,416.3124805,-410.1543669,41.1640089
solid_blue_pupil_1,3,162.62175,27.950492,860.12065,100,414.6471614,-409.2094181,41.15498182
solid_blue_pupil_1,4,163.36705,27.955944,863.45476,100,415.9827636,-409.9559119,41.16217862
solid_blue_pupil_1,5,164.11248,28.129133,868.08601,100,415.4872223,-409.7878589,41.15996341
solid_blue_pupil_1,6,164.12902,28.192251,868.10827,100,414.8342329,-409.3376542,41.15609011
solid_blue_pupil_1,7,163.13161,27.882595,862.18428,100,416.3446397,-410.1907308,41.16425756
solid_blue_pupil_1,8,161.1761,27.637404,852.10441,100,415.3594407,-409.5956017,41.15877444
solid_blue_pupil_1,9,161.7047,27.734074,854.88018,100,415.293105,-409.5469497,41.158369
solid_blue_pupil_1,10,163.32461,27.919721,863.48842,100,416.2993638,-410.2275124,41.16427093
solid_blue_pupil_1,11,163.50423,27.970599,863.92117,100,416.0790298,-409.959153,41.16248702
solid_blue_pupil_1,12,163.29109,27.885542,863.2708,100,416.6108614,-410.4254377,41.16604093
solid_blue_pupil_1,13,163.78268,28.094947,866.15373,100,415.2444805,-409.5821254,41.15836552
solid_blue_pupil_2,1,172.11956,28.498506,892.72553,100,426.1043222,-412.8326898,41.20456965
solid_blue_pupil_2,2,170.21675,28.103218,882.40369,100,426.9848017,-413.3104869,41.20911805
solid_blue_pupil_2,3,172.23524,28.519503,893.60798,100,426.0843683,-412.8840672,41.20471593
solid_blue_pupil_2,4,168.66642,27.908427,874.45015,100,426.3070209,-412.8815327,41.20537279
solid_blue_pupil_2,5,172.20625,28.515907,893.51931,100,426.0713312,-412.8895557,41.20469888
solid_blue_pupil_2,6,171.00487,28.293365,887.24643,100,426.3287828,-413.0508831,41.20611669
solid_blue_pupil_2,7,171.40918,28.325053,889.10633,100,426.7124163,-413.2500984,41.20806223
solid_blue_pupil_2,8,171.10505,28.166578,886.84159,100,427.8977321,-413.8759575,41.21409967
solid_blue_pupil_2,9,171.73465,28.445257,890.96985,100,425.9905521,-412.8125982,41.20414809
solid_blue_pupil_2,10,170.97045,28.240865,886.38341,100,426.8402517,-413.2315787,41.20837035
solid_blue_pupil_2,11,168.63676,27.801623,874.04066,100,427.4373167,-413.5695499,41.21150453
solid_blue_pupil_2,12,168.26485,27.835867,872.60167,100,426.3748368,-412.9810733,41.20597483
solid_blue_pupil_2,13,169.25808,27.988774,877.67073,100,426.5006138,-413.045275,41.20660856
